uuid,downstream,lon1,lat1,lon2,lat2
urn:uuid:fb26a15b-2714-4388-9127-5405c07347f0,urn:uuid:343458af-63a1-4af0-912d-a7b9bc146571,98.559167,31.060833,98.545000,31.062500
urn:uuid:a48f20b5-7005-4745-b93e-d7c1b2dcecf6,urn:uuid:fc1e01d4-dad7-4b55-a538-65724185e360,99.778333,29.758333,99.745833,29.790833
urn:uuid:914daa5f-0d64-4130-9a95-7aff8538598a,urn:uuid:972b9090-52fe-4b39-ba40-8d04f30e2e26,109.855000,31.967500,109.880833,31.925000
urn:uuid:30fcb344-9324-4f0a-999d-4d40b1be9ffb,urn:uuid:3e6b165a-e55e-4b89-b2dc-851a9453b7b1,110.012500,27.561667,110.095833,27.550000
urn:uuid:59b270f6-ff40-4894-8af5-052c07cffefa,urn:uuid:177412a8-fb0f-4243-acf3-c613a70c2892,91.046667,34.024167,91.049167,34.021667
urn:uuid:d8a6f447-ed6c-4910-951b-00cfafc6c41c,urn:uuid:df65b818-fbdf-4156-8e49-a5f3e9a6f7c7,105.094167,27.777500,105.053333,27.821667
urn:uuid:a417054e-e100-4ba8-a599-871578660bd7,urn:uuid:89df6ef1-55fa-46c9-819b-b329a19a0439,92.697500,35.220000,92.667500,35.245000
urn:uuid:df5aa152-041c-4a07-b0f7-6af36184edda,urn:uuid:24432745-370d-4abb-b736-2205508b8084,107.043333,28.080000,107.029167,28.110000
urn:uuid:89da3946-3b32-4575-a415-01b2af13621d,urn:uuid:87b22eee-b6c0-47cf-9512-c062b6562833,117.541667,33.683333,117.565000,33.692500
urn:uuid:2e0cbe30-d7b5-4de0-879f-a5b15273dc55,urn:uuid:651691e5-caaf-4299-9a0e-f4c48e580690,110.075833,33.270833,110.061667,33.409167
urn:uuid:ce8179b1-b37b-437d-9c0d-1851cc699047,urn:uuid:f61c020d-9837-40b4-ad87-839a9cf8ce3d,98.435000,32.008333,98.394167,32.055000
urn:uuid:0ea6fd70-e7a6-402d-84e5-23d24d2efd14,urn:uuid:c0f6d39a-a53b-47cd-92de-e4b16ff70b1b,115.737500,25.383333,115.663333,25.409167
urn:uuid:41ad1206-86af-40f8-9dbf-fbb27547898c,urn:uuid:e8b931cc-b4f1-4ba1-b635-2fadb864d6c2,116.338333,26.285833,116.331667,26.305000
urn:uuid:3aff0b30-c3a1-437a-9f1b-7cfc1bd84d7f,urn:uuid:2401980c-1843-43e7-ab9e-2ab934be5f81,99.398333,28.120000,99.400833,28.154167
urn:uuid:4d52ef00-d3a6-4272-ab4d-7f6a1544bdfd,urn:uuid:c448926a-cd62-4aee-8f86-c281c2c1ceac,117.221667,34.055000,117.253333,34.104167
urn:uuid:30b06465-59d6-4463-aad3-4959980e1376,urn:uuid:4d1d8d1f-902b-45c5-bae8-e9450f50efab,109.540833,31.677500,109.385833,31.655000
urn:uuid:7558f711-b273-41f1-af48-2fe45250ec96,urn:uuid:1a5457be-b76c-41c9-b6e9-4e2e13fb68f5,101.278333,26.056667,101.270833,26.052500
urn:uuid:9daff42d-9ef6-4684-a659-a2ce7e6e636a,urn:uuid:9c6e0c87-4056-4763-bfe6-6135210e6a35,105.926667,28.401667,105.929167,28.370000
urn:uuid:b0244b09-26fc-4047-aa7a-c424890fc086,urn:uuid:bd4bb533-8440-4538-aea0-dc5dad88c3d6,110.400000,31.455000,110.335833,31.413333
urn:uuid:e56e566e-b83a-423f-abc4-68d0ff7aa3cf,urn:uuid:455d5bae-fbe8-4d7a-afd4-47f5ca4d693a,93.872500,34.430833,93.826667,34.433333
urn:uuid:ca0137df-e85a-461c-b18d-4a033bdd7ff9,urn:uuid:e5af155d-ecef-4e8a-bf5b-81a969e15bee,107.925000,31.358333,107.942500,31.350000
urn:uuid:d9c3360f-293e-48d4-a61c-8d7352786d7c,urn:uuid:f008c6aa-0f8f-4ba5-bd01-15fd0668edb2,101.665000,26.116667,101.653333,26.125833
urn:uuid:1f8fb880-b86a-4540-a0ce-66c08a07082c,urn:uuid:4d0f8431-234a-44f6-a865-f570d3a2daf2,115.933333,25.776667,115.878333,25.808333
urn:uuid:dd128ff4-2d2d-43dd-bdce-7169594f214c,urn:uuid:7f66174d-8f85-4034-be81-21dc33d9ed0d,100.570833,25.743333,100.640833,25.777500
urn:uuid:c6581081-d4b8-46db-9701-a9ccf227e49f,urn:uuid:48ccd926-88f1-4c57-9a60-e83fadb108b1,109.011667,30.043333,108.944167,30.061667
urn:uuid:7f62e627-8bb8-4e98-a7c0-b351e4299465,urn:uuid:9a2f67d6-1289-43be-a8b7-722878026e72,103.463333,33.926667,103.461667,33.905833
urn:uuid:7a485772-664a-4d5c-aa81-98d94ad0d95d,urn:uuid:be2f717b-fe02-4fe8-85b8-3e6aec77cf4f,102.301667,31.870000,102.332500,31.795000
urn:uuid:dc21681c-369b-4ed7-a1e8-f26911c37b4b,urn:uuid:b43a3d51-27f7-4641-bb13-535647d832b7,111.532500,25.048333,111.531667,25.030000
urn:uuid:a5045493-f1de-43ae-ad8e-de8e8a37a8a2,urn:uuid:9eecb643-090d-42b9-91ee-999f664b0a5a,104.575000,27.413333,104.513333,27.375833
urn:uuid:f88a1e6b-0614-4ef4-a81b-abffa2f25016,urn:uuid:0eba3941-6cdc-4311-b3b9-62e785621549,113.415833,25.909167,113.455833,25.934167
urn:uuid:4bc46404-2b45-49d0-92cc-41d3e73f41e0,urn:uuid:af1995e0-a1e4-45c1-95b7-ac81163f1c5f,116.859167,28.040833,116.859167,28.040000
urn:uuid:b334cac3-53b1-4a3a-8132-77f2662bac12,urn:uuid:d15f499d-01b8-4e47-b064-8cf5d61ad862,116.253333,30.716667,116.242500,30.683333
urn:uuid:e0905a5e-37a1-4502-894c-a8a75c6674a6,urn:uuid:6cf1c53c-45e3-4a62-aa15-5900c9c29180,102.251667,26.630000,102.245833,26.652500
urn:uuid:5af1510b-375d-4cc2-ac1a-84cea587431f,urn:uuid:07f8b69e-2a34-4b78-bbe2-473a1c17d566,97.791667,31.360000,97.781667,31.360833
urn:uuid:bf11162a-388c-4287-9a65-d053c39b1510,urn:uuid:edc5729d-e5ed-443e-8d8f-ea3f07d64e03,107.422500,32.398333,107.395833,32.432500
urn:uuid:a0f6486b-f1bf-427f-ba82-0605f9411500,urn:uuid:e7469eaa-0256-4fe6-beed-0e24d40fe5e6,103.875833,26.702500,103.875000,26.685000
urn:uuid:c1ec4545-ea4e-4f87-a5c7-5e7342b7f732,urn:uuid:2fc910a2-98e4-456c-98db-fd7d27551a10,119.513333,33.470000,119.419167,33.492500
urn:uuid:16e47cfe-2133-47cc-86af-b4c54f96c789,urn:uuid:e34e0131-e822-4c26-977b-0f7c83629e55,118.373333,31.523333,118.352500,31.487500
urn:uuid:449eddb2-f36a-424c-b312-98045d56f666,urn:uuid:092f2a48-5c39-4083-b343-01e0daf2d79c,98.051667,33.665000,98.189167,33.554167
urn:uuid:b9d56a0e-7d79-471a-b574-4ce694114277,urn:uuid:727f7ba6-989c-4a7a-99d2-b86d435a0d03,94.549167,35.093333,94.545833,35.105833
urn:uuid:f88b2121-9d18-4070-b0c3-8c98ec51aee3,urn:uuid:fd789147-a96d-4d85-acfd-c5e3cc5863a9,107.239167,29.892500,107.261667,29.857500
urn:uuid:0ceea4f5-ab84-483d-81ca-354ec3562595,urn:uuid:f05e8819-9328-4a3b-9f0d-f9fe72bd5145,113.047500,28.915000,113.100000,28.909167
urn:uuid:35a61969-15bb-440f-b5a6-5178d9d9b4ee,urn:uuid:99d6cc4e-0f5e-44bc-be0f-316c39287520,115.294167,32.405000,115.260000,32.418333
urn:uuid:423f3d67-1dad-4aad-a96f-9fdef162e838,urn:uuid:8d810f07-1be8-464e-a7f2-a16b1bd81212,107.433333,32.470833,107.334167,32.471667
urn:uuid:83d8165f-6d54-4fb1-861e-f0cf0661ba28,urn:uuid:ccab217e-a768-44b5-bbaf-232d5785991d,105.048333,28.434167,105.091667,28.470000
urn:uuid:80cf8b2b-7d0c-49f9-9d13-6b6050356e41,urn:uuid:6872e2fd-f8b3-489d-9c43-9fd8cff4e5c4,114.651667,24.709167,114.621667,24.679167
urn:uuid:0e8d04ba-cfd2-4639-bbe9-2be1e0970c8c,urn:uuid:dcfc3179-1dc8-4de4-b313-8dca15dda98e,118.268333,32.107500,118.247500,32.095000
urn:uuid:d526ec3d-f34b-416e-805a-8d4829ad4c13,urn:uuid:543439d0-dd42-4544-8715-24801fee3e10,115.005000,29.600833,115.066667,29.555000
urn:uuid:1a4e9a07-f13c-4b47-9cde-13c03533ba66,urn:uuid:33406aa0-8990-4267-ba8d-1ad74066081a,105.776667,28.784167,105.665000,28.785000
urn:uuid:f6bb8d6f-0c91-424f-bdb1-04f4dbbbbdab,urn:uuid:0ccda98d-5866-4366-8459-27a7d190b36d,112.140833,28.480833,112.140000,28.443333
urn:uuid:11856807-475a-4e12-84bd-b8a6812771e2,urn:uuid:9949dc4e-5808-4e28-90b7-a41cf0675ce9,101.673333,32.781667,101.650833,32.808333
urn:uuid:1002db60-87c5-4827-a0f2-1efd0dc3845c,urn:uuid:252a7d1a-309b-4a1a-9e41-4b38ed9c59dd,107.898333,31.682500,107.875833,31.715000
urn:uuid:e6a40635-73f7-4f82-879b-83aa95811f9f,urn:uuid:98164233-36ff-492c-a3a2-0bc1b079ce99,100.816667,32.865000,100.920833,32.974167
urn:uuid:11292ce0-e5a7-4d46-8383-8ceb7a538a14,urn:uuid:076bfeae-e542-4609-afe5-6221ad12827f,100.260000,26.847500,100.210000,26.834167
urn:uuid:d510d81f-5ee1-40db-8c4c-af13abeef619,urn:uuid:4b5f4756-fcd6-4fc0-b5d2-4325463b7e3a,113.896667,25.487500,113.920000,25.463333
urn:uuid:4b329413-91ac-412b-9131-46fea90ca80d,urn:uuid:14bccffa-e598-4eae-a1c1-c0c86415dcbe,103.716667,26.763333,103.665000,26.734167
urn:uuid:0ea033f1-9e4b-46c2-8564-35ca54d5e6da,urn:uuid:999e5492-de30-4b92-8e7c-9e6c25c6ef2e,99.464167,28.015833,99.537500,27.999167
urn:uuid:05fc4d43-551c-4eb7-8b95-ea0b97d9f0c8,urn:uuid:e3ae6088-b60f-4783-a83d-254b5fb49ce3,105.089167,29.051667,105.110000,29.075833
urn:uuid:5586bc83-56d3-4115-9bb9-68be217d1390,urn:uuid:7725436a-2140-451e-aaf6-f82a3ebbfe1e,106.288333,31.808333,106.277500,31.921667
urn:uuid:49303886-e001-4e05-b223-4530c070aaea,urn:uuid:4e2b4306-21af-469b-9b66-addc58df4ab3,111.356667,27.292500,111.324167,27.270000
urn:uuid:b158bad5-e6d1-405d-9323-b1c23d80702d,urn:uuid:266f405d-fca2-4dbb-85d8-2e373bebf0e4,106.230000,29.481667,106.233333,29.613333
urn:uuid:a51b977f-408d-4e4f-8e06-55874b003321,urn:uuid:5bc005da-8b9f-438f-a7ae-d9bfafc9d62f,112.857500,26.483333,112.880833,26.455000
